row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
234_Malik_2018__ai__0_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,sludge_2pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,19.35,12.04,Table 3,0,treatment=2% C1 (sludge biochar); control=CK; biochar_rate_pct=2; feedstock=sludge; lime_rate_pct=0; biomass,ai-decode
234_Malik_2018__ai__5_grain,ai,234_Malik_2018,crop_yield,wheat,sludge_4pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,7.59,4.12,Table 3,0,treatment=4% C1 + 50% CaO; control=CK; biochar_rate_pct=4; feedstock=sludge; lime_rate_pct=50; grain,ai-decode
234_Malik_2018__ai__6_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,straw_2pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,18.5,12.04,Table 3,0,treatment=2% C2 + 50% CaO; control=CK; biochar_rate_pct=2; feedstock=straw; lime_rate_pct=50; biomass,ai-decode
234_Malik_2018__ai__6_grain,ai,234_Malik_2018,crop_yield,wheat,straw_2pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,7.56,4.12,Table 3,0,treatment=2% C2 + 50% CaO; control=CK; biochar_rate_pct=2; feedstock=straw; lime_rate_pct=50; grain,ai-decode
234_Malik_2018__ai__7_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,straw_4pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,21.82,12.04,Table 3,0,treatment=4% C2 + 50% CaO; control=CK; biochar_rate_pct=4; feedstock=straw; lime_rate_pct=50; biomass,ai-decode
234_Malik_2018__ai__7_grain,ai,234_Malik_2018,crop_yield,wheat,straw_4pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,6.28,4.12,Table 3,0,treatment=4% C2 + 50% CaO; control=CK; biochar_rate_pct=4; feedstock=straw; lime_rate_pct=50; grain,ai-decode
234_Malik_2018__ai__8_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,sludge_2pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,17.67,12.04,Table 3,0,treatment=2% C1 + 100% CaO; control=CK; biochar_rate_pct=2; feedstock=sludge; lime_rate_pct=100; biomass,ai-decode
234_Malik_2018__ai__8_grain,ai,234_Malik_2018,crop_yield,wheat,sludge_2pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,5.63,4.12,Table 3,0,treatment=2% C1 + 100% CaO; control=CK; biochar_rate_pct=2; feedstock=sludge; lime_rate_pct=100; grain,ai-decode
234_Malik_2018__ai__9_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,sludge_4pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,18.5,12.04,Table 3,0,treatment=4% C1 + 100% CaO; control=CK; biochar_rate_pct=4; feedstock=sludge; lime_rate_pct=100; biomass,ai-decode
234_Malik_2018__ai__9_grain,ai,234_Malik_2018,crop_yield,wheat,sludge_4pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,6.37,4.12,Table 3,0,treatment=4% C1 + 100% CaO; control=CK; biochar_rate_pct=4; feedstock=sludge; lime_rate_pct=100; grain,ai-decode
234_Malik_2018__ai__10_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,straw_2pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,20.48,12.04,Table 3,0,treatment=2% C2 + 100% CaO; control=CK; biochar_rate_pct=2; feedstock=straw; lime_rate_pct=100; biomass,ai-decode
234_Malik_2018__ai__10_grain,ai,234_Malik_2018,crop_yield,wheat,straw_2pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,8.06,4.12,Table 3,0,treatment=2% C2 + 100% CaO; control=CK; biochar_rate_pct=2; feedstock=straw; lime_rate_pct=100; grain,ai-decode
234_Malik_2018__ai__11_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,straw_4pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,24.5,12.04,Table 3,0,treatment=4% C2 + 100% CaO; control=CK; biochar_rate_pct=4; feedstock=straw; lime_rate_pct=100; biomass,ai-decode
234_Malik_2018__ai__11_grain,ai,234_Malik_2018,crop_yield,wheat,straw_4pct,quicklime,100,pooled,single_cell,g/pot,absolute_control,9.54,4.12,Table 3,0,treatment=4% C2 + 100% CaO; control=CK; biochar_rate_pct=4; feedstock=straw; lime_rate_pct=100; grain,ai-decode
234_Malik_2018__ai__12_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,0,quicklime,50,pooled,single_cell,g/pot,absolute_control,20.99,12.04,Table 3,0,treatment=50% CaO (lime only); control=CK; biochar_rate_pct=0; feedstock=none; lime_rate_pct=50; biomass,ai-decode
234_Malik_2018__ai__12_grain,ai,234_Malik_2018,crop_yield,wheat,0,quicklime,50,pooled,single_cell,g/pot,absolute_control,6.77,4.12,Table 3,0,treatment=50% CaO (lime only); control=CK; biochar_rate_pct=0; feedstock=none; lime_rate_pct=50; grain,ai-decode
234_Malik_2018__ai__13_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,0,quicklime,100,pooled,single_cell,g/pot,absolute_control,25.67,12.04,Table 3,0,treatment=100% CaO (lime only); control=CK; biochar_rate_pct=0; feedstock=none; lime_rate_pct=100; biomass,ai-decode
234_Malik_2018__ai__13_grain,ai,234_Malik_2018,crop_yield,wheat,0,quicklime,100,pooled,single_cell,g/pot,absolute_control,8.06,4.12,Table 3,0,treatment=100% CaO (lime only); control=CK; biochar_rate_pct=0; feedstock=none; lime_rate_pct=100; grain,ai-decode
